# Frames, # Reads, # Writes, # Page Faults, Algorithm
10,1022,604,1626,sort
20,820,500,1320,sort
30,620,400,1020,sort
40,630,400,1030,sort
50,500,300,800,sort
60,440,300,740,sort
70,370,270,670,sort
80,420,280,720,sort
90,370,270,670,sort
100,100,0,200,sort
10,1100,100,1200,scan
20,1100,100,1200,scan
30,1100,100,1200,scan
40,1100,100,1200,scan
50,1100,100,1200,scan
60,1100,100,1200,scan
70,640,100,740,scan
80,660,100,760,scan
90,680,100,780,scan
100,100,0,200,scan
10,292,192,484,focus
20,280,184,464,focus
30,271,175,446,focus
40,258,165,423,focus
50,228,150,385,focus
60,200,120,345,focus
70,200,126,336,focus
80,180,80,312,focus
90,190,90,305,focus
100,100,0,200,focus
