# Frames, # Reads, # Writes, # Page Faults, Algorithm
10,1008,604,1612,sort
20,800,500,1300,sort
30,600,400,1000,sort
40,600,400,1000,sort
50,500,300,800,sort
60,400,300,700,sort
70,400,300,700,sort
80,400,300,700,sort
90,400,300,700,sort
100,100,0,200,sort
10,1100,100,1200,scan
20,1100,100,1200,scan
30,1100,100,1200,scan
40,1100,100,1200,scan
50,1100,100,1200,scan
60,1100,100,1200,scan
70,1100,100,1200,scan
80,1100,100,1200,scan
90,1100,100,1200,scan
100,100,0,200,scan
10,292,192,484,focus
20,281,184,465,focus
30,272,175,447,focus
40,258,165,423,focus
50,229,157,386,focus
60,200,140,345,focus
70,200,130,336,focus
80,200,120,332,focus
90,200,110,315,focus
100,100,0,200,focus
